flight_date,unique_carrier,flight_num,arr_delay
02/01/2015 0:00,AA,1,-19
03/01/2015 0:00,AA,1,-39
04/01/2015 0:00,AA,1,-12
05/01/2015 0:00,AA,1,-8
06/01/2015 0:00,AA,1,25
07/01/2015 0:00,AA,1,-14
08/01/2015 0:00,AA,1,-37
13/01/2015 0:00,AA,1381,4
14/01/2015 0:00,AA,1381,-3
02/01/2015 0:00,AA,1382,-11
03/01/2015 0:00,AA,1382,-6
04/01/2015 0:00,AA,1382,15
05/01/2015 0:00,AA,1382,0
06/01/2015 0:00,AA,1382,-8
07/01/2015 0:00,AA,1382,-8
08/01/2015 0:00,AA,1382,9
09/01/2015 0:00,AA,1382,77
10/01/2015 0:00,AA,1382,-17
11/01/2015 0:00,AA,1382,-15
12/01/2015 0:00,AA,1382,-20
13/01/2015 0:00,AA,1382,9
14/01/2015 0:00,AA,1382,-14
02/01/2015 0:00,AA,1382,-9
03/01/2015 0:00,AA,1382,-9
04/01/2015 0:00,AA,1382,11
05/01/2015 0:00,AA,1382,-21
02/01/2015 0:00,AA,1383,4
05/01/2015 0:00,AA,1383,35
06/01/2015 0:00,AA,1383,-9
07/01/2015 0:00,AA,1383,-13
08/01/2015 0:00,AA,1383,-9
09/01/2015 0:00,AA,1383,1
12/01/2015 0:00,AA,1383,5
13/01/2015 0:00,AA,1383,21
14/01/2015 0:00,AA,1383,4
02/01/2015 0:00,AA,1383,-7
03/01/2015 0:00,AA,1383,-6
04/01/2015 0:00,AA,1383,17
05/01/2015 0:00,AA,1383,16
06/01/2015 0:00,AA,1383,3
07/01/2015 0:00,AA,1383,32
08/01/2015 0:00,AA,1383,-13
09/01/2015 0:00,AA,1383,-7
10/01/2015 0:00,AA,1383,-13
11/01/2015 0:00,AA,1383,6
12/01/2015 0:00,AA,1383,8
13/01/2015 0:00,AA,1383,-1
14/01/2015 0:00,AA,1383,6
02/01/2015 0:00,AA,1384,-12
03/01/2015 0:00,AA,1384,60
04/01/2015 0:00,AA,1384,70
05/01/2015 0:00,AA,1384,
06/01/2015 0:00,AA,1384,9
07/01/2015 0:00,AA,1384,0
08/01/2015 0:00,AA,1384,221
09/01/2015 0:00,AA,1384,8
10/01/2015 0:00,AA,1384,0
11/01/2015 0:00,AA,1384,52
12/01/2015 0:00,AA,1384,10
13/01/2015 0:00,AA,1384,-9
14/01/2015 0:00,AA,1384,1
02/01/2015 0:00,AA,1385,-2
03/01/2015 0:00,AA,1385,29
04/01/2015 0:00,AA,1385,10
05/01/2015 0:00,AA,1385,17
06/01/2015 0:00,AA,1385,12
